time,open,high,low,close,volume
2026-03-15 18:00:00,71830.9,71875.5,71345.1,71388.0,36.06983172
2026-03-15 19:00:00,71388.1,71569.6,71350.3,71567.2,26.78855652
2026-03-15 20:00:00,71567.2,71938.1,71455.8,71745.1,40.56347198
2026-03-15 21:00:00,71745.1,72230.6,71655.5,72116.1,69.86845133
2026-03-15 22:00:00,72116.2,73095.4,71731.3,72729.5,149.54595077
2026-03-15 23:00:00,72744.8,73200.0,72440.3,72835.7,134.10186474
2026-03-16 00:00:00,72826.7,73007.8,72469.0,72541.3,87.51772715
2026-03-16 01:00:00,72541.3,72850.1,72304.0,72738.2,48.50539956
2026-03-16 02:00:00,72752.4,72850.2,72375.1,72541.9,39.66520684
2026-03-16 03:00:00,72542.0,74295.9,72445.5,73582.5,516.87075789
2026-03-16 04:00:00,73582.5,74424.0,73582.4,73842.1,136.8261043
2026-03-16 05:00:00,73842.1,74235.6,73743.5,74196.9,117.71191228
2026-03-16 06:00:00,74197.0,74197.0,73615.6,73717.8,76.70009726
2026-03-16 07:00:00,73717.9,73923.0,73409.5,73456.6,70.93391864
2026-03-16 08:00:00,73456.6,73774.6,72884.4,73134.7,144.16500722
2026-03-16 09:00:00,73134.6,73330.4,73069.3,73257.2,50.20450078
2026-03-16 10:00:00,73257.3,73782.8,73220.0,73782.8,120.63855837
2026-03-16 11:00:00,73791.6,73843.6,73545.6,73554.1,52.96932074
2026-03-16 12:00:00,73554.1,74042.3,73481.2,73863.1,103.97760923
2026-03-16 13:00:00,73880.1,74500.0,73811.2,74122.1,180.78678963
2026-03-16 14:00:00,74122.1,74467.1,73015.7,73556.2,175.74216809
2026-03-16 15:00:00,73556.2,74046.6,73218.3,73292.1,329.95689753
2026-03-16 16:00:00,73292.2,73915.6,73167.8,73765.1,130.95536657
2026-03-16 17:00:00,73765.1,74047.7,73660.6,73954.7,68.91132829
2026-03-16 18:00:00,73954.7,74359.6,73875.1,73895.7,145.054478
2026-03-16 19:00:00,73907.0,74400.0,73805.5,73976.5,168.06273701
2026-03-16 20:00:00,73975.4,74250.0,73864.6,74250.0,62.62427092
2026-03-16 21:00:00,74250.0,74792.7,74179.3,74406.1,358.12146663
2026-03-16 22:00:00,74402.8,74898.5,74402.7,74750.1,88.99424882
2026-03-16 23:00:00,74750.2,74901.3,74262.5,74887.7,112.55720672
2026-03-17 00:00:00,74887.7,75485.0,74637.3,75303.2,267.94293367
2026-03-17 01:00:00,75303.3,75998.1,75085.5,75637.1,346.73882208
