time,open,high,low,close,volume
2026-03-21 23:30:00,70106.1,70187.0,70097.7,70152.1,1.93937886
2026-03-21 23:45:00,70147.5,70147.5,68538.3,68907.7,244.60911788
2026-03-22 00:00:00,68907.7,68921.6,68250.1,68692.9,97.66467501
2026-03-22 00:15:00,68692.9,69034.6,68664.6,68890.7,15.35235264
2026-03-22 00:30:00,68890.7,69125.6,68890.7,69078.2,21.87684055
2026-03-22 00:45:00,69078.1,69108.4,68787.0,68941.0,12.43028417
2026-03-22 01:00:00,68941.1,69081.0,68858.0,68956.3,4.40377108
2026-03-22 01:15:00,68956.2,69080.9,68897.9,69003.9,8.35330763
2026-03-22 01:30:00,69003.9,69057.9,68763.1,68829.7,14.97599397
2026-03-22 01:45:00,68829.6,68975.1,68829.6,68952.6,2.79114175
2026-03-22 02:00:00,68952.6,69059.9,68952.6,69059.9,2.9034651
2026-03-22 02:15:00,69059.8,69402.7,68977.0,69322.0,13.80822731
2026-03-22 02:30:00,69322.0,69350.1,69200.0,69215.4,11.1359356
2026-03-22 02:45:00,69215.4,69336.0,69204.0,69276.0,2.32486846
2026-03-22 03:00:00,69276.0,69321.7,69121.5,69304.0,4.43355773
2026-03-22 03:15:00,69304.0,69509.5,69264.0,69444.8,11.36960707
2026-03-22 03:30:00,69444.8,69569.5,69313.7,69341.1,5.59474749
2026-03-22 03:45:00,69341.1,69349.4,69282.7,69332.6,1.9386368
2026-03-22 04:00:00,69332.6,69468.8,69316.0,69410.4,4.42951129
2026-03-22 04:15:00,69414.8,69509.4,69204.6,69244.5,8.81910356
2026-03-22 04:30:00,69261.6,69348.4,69208.2,69329.7,1.62297781
2026-03-22 04:45:00,69329.7,69384.8,69300.0,69352.2,1.79257209
2026-03-22 05:00:00,69340.5,69343.3,69213.5,69231.7,3.18893126
2026-03-22 05:15:00,69223.0,69256.3,69161.0,69161.2,2.3535425
2026-03-22 05:30:00,69163.0,69214.0,69147.4,69205.9,5.4349004
2026-03-22 05:45:00,69205.8,69242.0,69145.4,69145.5,10.68144641
2026-03-22 06:00:00,69145.5,69157.4,69070.6,69125.7,4.5489586
2026-03-22 06:15:00,69125.7,69200.0,69086.9,69200.0,3.91130913
2026-03-22 06:30:00,69200.0,69213.3,69166.3,69195.0,10.14492882
2026-03-22 06:45:00,69194.9,69194.9,69123.6,69141.1,11.04646253
2026-03-22 07:00:00,69141.2,69227.4,69130.3,69145.5,5.05638808
2026-03-22 07:15:00,69138.5,69189.6,69133.1,69168.0,1.92584387
2026-03-22 07:30:00,69168.1,69168.1,68929.8,68929.8,7.12936659
2026-03-22 07:45:00,68929.8,69069.0,68902.1,68902.2,4.42443416
2026-03-22 08:00:00,68902.2,68963.5,68728.8,68960.7,20.99215774
2026-03-22 08:15:00,68960.8,68973.0,68566.9,68631.9,12.83034476
2026-03-22 08:30:00,68618.1,68766.3,68561.0,68743.5,5.48324115
2026-03-22 08:45:00,68743.4,68795.8,68686.9,68795.8,8.22436046
2026-03-22 09:00:00,68795.8,68858.8,68744.4,68853.8,4.02359474
2026-03-22 09:15:00,68853.7,68880.6,68573.0,68639.6,1.77901848
2026-03-22 09:30:00,68639.6,68799.4,68639.5,68786.2,3.85760327
2026-03-22 09:45:00,68786.1,68821.4,68766.1,68819.8,1.27430404
2026-03-22 10:00:00,68819.9,68819.9,68685.4,68731.0,2.61982034
2026-03-22 10:15:00,68731.0,68734.3,68658.0,68717.9,1.35850621
2026-03-22 10:30:00,68718.0,68755.5,68597.4,68597.4,2.05516264
2026-03-22 10:45:00,68597.5,68656.4,68597.5,68656.4,1.72488398
2026-03-22 11:00:00,68656.4,68671.4,68577.0,68665.2,4.27825358
2026-03-22 11:15:00,68665.2,68669.4,68381.2,68412.2,24.07147423
2026-03-22 11:30:00,68412.1,68501.5,68275.0,68404.5,5.09973694
2026-03-22 11:45:00,68404.4,68404.4,68123.6,68208.0,38.57167178
2026-03-22 12:00:00,68211.0,68306.2,68172.6,68306.2,9.78536118
2026-03-22 12:15:00,68306.2,68731.6,68306.2,68657.7,20.44725591
2026-03-22 12:30:00,68657.7,68657.7,68601.0,68614.9,4.53109793
2026-03-22 12:45:00,68614.9,68667.8,68551.7,68655.0,4.78396371
2026-03-22 13:00:00,68655.1,68940.2,68655.0,68800.1,18.55405312
2026-03-22 13:15:00,68800.1,68863.2,68743.1,68810.1,9.56967102
2026-03-22 13:30:00,68810.1,68838.3,68544.2,68625.8,11.1366976
2026-03-22 13:45:00,68625.8,68745.7,68602.9,68702.3,6.13789494
2026-03-22 14:00:00,68702.3,68783.2,68555.9,68778.9,22.3611433
2026-03-22 14:15:00,68774.5,68883.2,68744.4,68825.0,6.33648277
